question,answer,source,focus_area
What are the treatments for Idiopathic Pulmonary Fibrosis ?,"Doctors may prescribe medicines, oxygen therapy, pulmonary rehabilitation (PR), and lung transplant to treat idiopathic pulmonary fibrosis (IPF).
                
Medicines
                
Currently, no medicines are proven to slow the progression of IPF.
                
Prednisone, azathioprine (A-zah-THI-o-preen), and N-acetylcysteine (a-SEH-til-SIS-tee-in) have been used to treat IPF, either alone or in combination. However, experts have not found enough evidence to support their use.
                
Prednisone
                
Prednisone is an anti-inflammatory medicine. You usually take it by mouth every day. However, your doctor may give it to you through a needle or tube inserted into a vein in your arm for several days. After that, you usually take it by mouth.
                
Because prednisone can cause serious side effects, your doctor may prescribe it for 3 to 6 months or less at first. Then, if it works for you, your doctor may reduce the dose over time and keep you on it longer.
                
Azathioprine
                
Azathioprine suppresses your immune system. You usually take it by mouth every day. Because it can cause serious side effects, your doctor may prescribe it with prednisone for only 3 to 6 months.
                
If you don't have serious side effects and the medicines seem to help you, your doctor may keep you on them longer.
                
N-acetylcysteine
                
N-acetylcysteine is an antioxidant that may help prevent lung damage. You usually take it by mouth several times a day.
                
A common treatment for IPF is a combination of prednisone, azathioprine, and N-acetylcysteine. However, this treatment was recently found harmful in a study funded by the National Heart, Lung, and Blood Institute (NHLBI).
                
If you have IPF and take this combination of medicines, talk with your doctor. Do not stop taking the medicines on your own.
                
The NHLBI currently supports research to compare N-acetylcysteine treatment with placebo treatment (sugar pills) in patients who have IPF.
                
New Medicines Being Studied
                
Researchers, like those in the Idiopathic Pulmonary Fibrosis Network, are studying new treatments for IPF. With the support and guidance of the NHLBI, these researchers continue to look for new IPF treatments and therapies.
                
Some of these researchers are studying medicines that may reduce inflammation and prevent or reduce scarring caused by IPF.
                
If you're interested in joining a research study, talk with your doctor. For more information about ongoing research, go to the ""Clinical Trials"" section of this article.
                
Other Treatments
                
Other treatments that may help people who have IPF include the following:
                
Flu andpneumonia vaccines may help prevent infections and keep you healthy.
                
Cough medicines or oral codeine may relieve coughing.
                
Vitamin D, calcium, and a bone-building medicine may help prevent bone loss if you're taking prednisone or another corticosteroid.
                
Anti-reflux therapy may help control gastroesophageal reflux disease (GERD). Most people who have IPF also have GERD.
                
Oxygen Therapy
                
If the amount of oxygen in your blood gets low, you may need oxygen therapy. Oxygen therapy can help reduce shortness of breath and allow you to be more active.
                
Oxygen usually is given through nasal prongs or a mask. At first, you may need it only during exercise and sleep. As your disease worsens, you may need it all the time.
                
For more information, go to the Health Topics Oxygen Therapy article.
                
Pulmonary Rehabilitation
                
PR is now a standard treatment for people who have chronic (ongoing) lung disease. PR is a broad program that helps improve the well-being of people who have breathing problems.
                
The program usually involves treatment by a team of specialists in a special clinic. The goal is to teach you how to manage your condition and function at your best.
                
PR doesn't replace medical therapy. Instead, it's used with medical therapy and may include:
                
Exercise training
                
Nutritional counseling
                
Education on your lung disease or condition and how to manage it
                
Energy-conserving techniques
                
Breathing strategies
                
Psychological counseling and/or group support
                
For more information, go to the Health Topics Pulmonary Rehabilitation article.
                
Lung Transplant
                
Your doctor may recommend a lung transplant if your condition is quickly worsening or very severe. A lung transplant can improve your quality of life and help you live longer.
                
Some medical centers will consider patients older than 65 for lung transplants if they have no other serious medical problems.
                
The major complications of a lung transplant are rejection and infection. (""Rejection"" refers to your body creating proteins that attack the new organ.) You will have to take medicines for the rest of your life to reduce the risk of rejection.
                
Because the supply of donor lungs is limited, talk with your doctor about a lung transplant as soon as possible.
                
For more information, go to the Health Topics Lung Transplant article.",NHLBI,Idiopathic Pulmonary Fibrosis
What is (are) Hypersomnia ?,"Hypersomnia is characterized by recurrent episodes of excessive daytime sleepiness or prolonged nighttime sleep. Different from feeling tired due to lack of or interrupted sleep at night, persons with hypersomnia are compelled to nap repeatedly during the day, often at inappropriate times such as at work, during a meal, or in conversation. These daytime naps usually provide no relief from symptoms. Patients often have difficulty waking from a long sleep, and may feel disoriented. Other symptoms may include anxiety, increased irritation, decreased energy, restlessness, slow thinking, slow speech, loss of appetite, hallucinations, and memory difficulty. Some patients lose the ability to function in family, social, occupational, or other settings. Hypersomnia may be caused by another sleep disorder (such as narcolepsy or sleep apnea), dysfunction of the autonomic nervous system, or drug or alcohol abuse. In some cases it results from a physical problem, such as a tumor, head trauma, or injury to the central nervous system. Certain medications, or medicine withdrawal, may also cause hypersomnia. Medical conditions including multiple sclerosis, depression, encephalitis, epilepsy, or obesity may contribute to the disorder. Some people appear to have a genetic predisposition to hypersomnia; in others, there is no known cause. Typically, hypersomnia is first recognized in adolescence or young adulthood.",NINDS,Hypersomnia
What is (are) PRICKLE1-related progressive myoclonus epilepsy with ataxia ?,"PRICKLE1-related progressive myoclonus epilepsy with ataxia is a rare inherited condition characterized by recurrent seizures (epilepsy) and problems with movement. The signs and symptoms of this disorder usually begin between the ages of 5 and 10.  Problems with balance and coordination (ataxia) are usually the first symptoms of PRICKLE1-related progressive myoclonus epilepsy with ataxia. Affected children often have trouble walking. Their gait is unbalanced and wide-based, and they may fall frequently. Later, children with this condition develop episodes of involuntary muscle jerking or twitching (myoclonus), which cause additional problems with movement. Myoclonus can also affect muscles in the face, leading to difficulty swallowing and slurred speech (dysarthria).  Beginning later in childhood, some affected individuals develop tonic-clonic or grand mal seizures. These seizures involve a loss of consciousness, muscle rigidity, and convulsions. They often occur at night (nocturnally) while the person is sleeping.  PRICKLE1-related progressive myoclonus epilepsy with ataxia does not seem to affect intellectual ability. Although a few affected individuals have died in childhood, many have lived into adulthood.",GHR,PRICKLE1-related progressive myoclonus epilepsy with ataxia
What are the treatments for Mowat-Wilson syndrome ?,These resources address the diagnosis or management of Mowat-Wilson syndrome:  - Gene Review: Gene Review: Mowat-Wilson Syndrome  - Genetic Testing Registry: Mowat-Wilson syndrome  - MedlinePlus Encyclopedia: Hirschsprung's Disease   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Mowat-Wilson syndrome
What is (are) Leukemia ?,"Chemotherapy is a cancer treatment that uses drugs to kill cancer cells. This is the most common treatment for most types of leukemia. Chemotherapy may be taken by mouth in pill form, by injection directly into a vein, or through a catheter. If leukemia cells are found in the fluid around the brain or spinal cord, the doctor may inject drugs directly into the fluid to ensure that the drugs reach the leukemia cells in the brain.",NIHSeniorHealth,Leukemia
What is (are) Neonatal intrahepatic cholestasis caused by citrin deficiency ?,"Neonatal intrahepatic cholestasis caused by citrin deficiency (NICCD) is a liver condition is also known as neonatal-onset type II citrullinemia. NICCD blocks the flow of bile (a digestive fluid produced by the liver) and prevents the body from processing certain nutrients properly. This leads to transient intrahepatic cholestasis and variable liver dysfunction in children younger than one year of age. NICCD is generally not severe, and symptoms disappear by age one year with appropriate treatment. Years or even decades later, however, some of these individuals develop the characteristic features of adult-onset type II citrullinemia. NICCD is caused by mutations in the SLC25A13 gene. This condition is inherited in an autosomal recessive pattern.",GARD,Neonatal intrahepatic cholestasis caused by citrin deficiency
What to do for Primary Biliary Cirrhosis ?,"A healthy diet is important in all stages of cirrhosis because malnutrition is common in people with this disease. Malnutrition is a condition that occurs when the body does not get enough nutrients. Cirrhosis may lead to malnutrition because it can cause
                
- people to eat less because of symptoms such as loss of appetite  - changes in metabolism  - reduced absorption of vitamins and minerals
                
Health care providers can recommend a meal plan that is well balanced and provides enough calories and protein. If ascites develops, a health care provider or dietitian may recommend a sodium-restricted diet. To improve nutrition, the health care provider may prescribe a liquid supplement. A person may take the liquid by mouth or through a nasogastric tubea tiny tube inserted through the nose and throat that reaches into the stomach.
                
A person with cirrhosis should not eat raw shellfish, which can contain a bacterium that causes serious infection. Cirrhosis affects the immune system, making people with cirrhosis more likely than healthy people to develop an infection after eating shellfish that contain this bacterium.
                
A health care provider may recommend calcium and vitamin D supplements to help prevent osteoporosis.",NIDDK,Primary Biliary Cirrhosis
How many people are affected by spondylothoracic dysostosis ?,"Spondylothoracic dysostosis affects about one in 200,000 people worldwide. However, it is much more common in people of Puerto Rican ancestry, affecting approximately one in 12,000 people.",GHR,spondylothoracic dysostosis
What is (are) Pudendal Neuralgia ?,"Pudendal neuralgia occurs when the pudendal nerve is injured or compressed.  Symptoms include pain, burning, tingling, or numbness in the pelvic or buttock areas; symptoms worsen while an affected individual is in a sitting position.  The cause of pudendal neuralgia is unknown.  Treatment includes nerve block of the pudendal nerve or surgery to remove surrounding tissues that might be pressing on the nerve.",GARD,Pudendal Neuralgia
what research (or clinical trials) is being done for Neurological Complications of AIDS ?,"Within the Federal government, the National Institute of Neurological Disorders and Stroke (NINDS), one part of the National Institutes of Health (NIH), supports research on the neurological consequences of AIDS. The NINDS works closely with its sister agency, the National Institute of Allergy and Infectious Diseases (NIAID), which has primary responsibility for research related to HIV and AIDS.",NINDS,Neurological Complications of AIDS
Is Krabbe disease inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GHR,Krabbe disease
What are the treatments for Weaver syndrome ?,These resources address the diagnosis or management of Weaver syndrome:  - Genetic Testing Registry: Weaver syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Weaver syndrome
Is diastrophic dysplasia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GHR,diastrophic dysplasia
What is (are) Marshall-Smith syndrome ?,"Marshall-Smith syndrome is a malformation syndrome characterized by advanced bone age, failure to thrive, respiratory problems, dysmorphic facial features, and variable mental retardation. Less than 40 cases have been reported in the literature, mostly as single case reports or small series. Early death is common due to respiratory complications. The cause of this disease remains unknown, but its sporadic occurrence suggests a de novo (new) dominant mutation. Aggressive management of the early respiratory and feeding problems may improve survival in individuals affected by this condition.",GARD,Marshall-Smith syndrome
What is (are) Zollinger-Ellison Syndrome ?,"The stomach, duodenum, and pancreas are digestive organs that break down food and liquid.
                
- The stomach stores swallowed food and liquid. The muscle action of the lower part of the stomach mixes the food and liquid with digestive juice. Partially digested food and liquid slowly move into the duodenum and are further broken down.  - The duodenum is the first part of the small intestinethe tube-shaped organ between the stomach and the large intestinewhere digestion of the food and liquid continues.  - The pancreas is an organ that makes the hormone insulin and enzymes for digestion. A hormone is a natural chemical produced in one part of the body and released into the blood to trigger or regulate particular functions of the body. Insulin helps cells throughout the body remove glucose, also called sugar, from blood and use it for energy. The pancreas is located behind the stomach and close to the duodenum.",NIDDK,Zollinger-Ellison Syndrome
How to diagnose Axenfeld-Rieger syndrome type 1 ?,Is genetic testing available for Axenfeld Rieger syndrome? The Genetic Testing Registry (GTR) is a central online resource for information about genetic tests. The intended audience for the GTR is health care providers and researchers. Patients and consumers with specific questions about a genetic test should contact a health care provider or a genetics professional. To view the clinical laboratories conducting testing click here.,GARD,Axenfeld-Rieger syndrome type 1
What are the genetic changes related to familial Mediterranean fever ?,"Mutations in the MEFV gene cause familial Mediterranean fever. The MEFV gene provides instructions for making a protein called pyrin (also known as marenostrin), which is found in white blood cells. This protein is involved in the immune system, helping to regulate the process of inflammation. Inflammation occurs when the immune system sends signaling molecules and white blood cells to a site of injury or disease to fight microbial invaders and facilitate tissue repair. When this process is complete, the body stops the inflammatory response to prevent damage to its own cells and tissues.  Mutations in the MEFV gene reduce the activity of the pyrin protein, which disrupts control of the inflammation process. An inappropriate or prolonged inflammatory response can result, leading to fever and pain in the abdomen, chest, or joints.  Normal variations in the SAA1 gene may modify the course of familial Mediterranean fever. Some evidence suggests that a particular version of the SAA1 gene (called the alpha variant) increases the risk of amyloidosis among people with familial Mediterranean fever.",GHR,familial Mediterranean fever
What is (are) 3-M syndrome ?,"3-M syndrome is a disorder that causes short stature (dwarfism), unusual facial features, and skeletal abnormalities. The name of this condition comes from the initials of three researchers who first identified it: Miller, McKusick, and Malvaux.  Individuals with 3-M syndrome grow extremely slowly before birth, and this slow growth continues throughout childhood and adolescence. They have low birth weight and length and remain much smaller than others in their family, growing to an adult height of approximately 120 centimeters to 130 centimeters (4 feet to 4 feet 6 inches). Affected individuals have a normally sized head that looks disproportionately large in comparison with their body. The head may be unusually long and narrow in shape (dolichocephalic).  In addition to short stature, people with 3-M syndrome have a triangle-shaped face with a broad, prominent forehead (frontal bossing) and a pointed chin; the middle of the face is less prominent (hypoplastic midface). They may have large ears, full eyebrows, an upturned nose with a fleshy tip, a long area between the nose and mouth (philtrum), a prominent mouth, and full lips.  Affected individuals may have a short, broad neck and chest with prominent shoulder blades and square shoulders. They may have abnormal spinal curvature such as a rounded upper back that also curves to the side (kyphoscoliosis) or exaggerated curvature of the lower back (hyperlordosis). People with 3-M syndrome may also have unusual curving of the fingers (clinodactyly), short fifth (pinky) fingers, prominent heels, and loose joints. Other skeletal abnormalities, such as unusually slender long bones in the arms and legs, tall, narrow spinal bones (vertebrae), or slightly delayed bone age may be apparent in x-ray images.  3-M syndrome can also affect other body systems. Males with 3-M syndrome may produce reduced amounts of sex hormones (hypogonadism) and occasionally have the urethra opening on the underside of the penis (hypospadias). People with this condition may be at increased risk of developing bulges in blood vessel walls (aneurysms) in the brain. Intelligence is unaffected by 3-M syndrome, and life expectancy is generally normal.  A variant of 3-M syndrome called Yakut short stature syndrome has been identified in an isolated population in Siberia. In addition to having most of the physical features characteristic of 3-M syndrome, people with this form of the disorder are often born with respiratory problems that can be life-threatening in infancy.",GHR,3-M syndrome
Who is at risk for Narcolepsy? ?,"Narcolepsy affects men and women. Symptoms usually begin during the teen or young adult years. The disorder also can develop later in life or in children, but it's rare before age 5.
                
Researchers think that certain factors may work together to cause narcolepsy. If these factors affect you, you may be at higher risk for the disorder. (For more information, go to ""What Causes Narcolepsy?"")",NHLBI,Narcolepsy
What to do for What I need to know about Living with Kidney Failure ?,"Eating the right foods can help you feel better when you are on dialysis or have a kidney transplant. Staying healthy with kidney failure requires watching how much of these elements are included in your diet:
                
- Protein is in many foods you eat. Protein is in foods from animals and plants. Most diets include both types of protein. Protein provides the building blocks that maintain and repair muscles, organs, and other parts of the body. Too much protein can cause waste to build up in your blood, making your kidneys work harder. However, if you are on hemodialysis or peritoneal dialysis, you need lots of protein to replace the protein that dialysis removes.  - Phosphorus is a mineral that keeps your bones healthy. Phosphorus also keeps blood vessels and muscles working. This mineral is found naturally in foods rich in protein, such as meat, poultry, fish, nuts, beans, and dairy products. Phosphorus is also added to many processed foods. You need phosphorus to turn food into energy; however, too much can cause your bones to weaken.  - Water is in drinks and in foods such as fruits, vegetables, ice cream, gelatin, soup, and popsicles. Your body needs water; however, too much can cause fluid to build up in your body and make your heart work harder.  - Sodium is a part of salt. You can find sodium in many canned, packaged, and fast foods and in seasonings and meats. You need sodium to help control the amount of fluid in your body; however, too much can cause high blood pressure.  - Potassium is a mineral that helps your nerves and muscles work the right way. Potassium is found in fruits and vegetables such as oranges, bananas, tomatoes, and potatoes. You need potassium for healthy nerves and brain cells; however, too much can make your heartbeat irregular.  - Calories are found in all foods and are especially high in oils and sugary foods. You need calories for energy; however, too many can cause weight gain and high blood sugar.
                
Talk with your clinics renal dietitian to find a meal plan that works for you. Each treatment requires a different diet. If you are on hemodialysis, you have to stay away from foods such as potatoes and oranges because they have lots of potassium. If you are on peritoneal dialysis, eating potassium is fine. Instead, you may need to watch your calories. Your food needs will also depend on your weight and activity level.
                
Changing your diet may be hard at first. Eating the right foods will help you feel better. You will have more strength and energy. Having more energy will help you live a fuller, healthier life. More information is provided in the NIDDK health topic, Eat Right to Feel Right on Hemodialysis.",NIDDK,What I need to know about Living with Kidney Failure
What are the symptoms of Dandy-Walker like malformation with atrioventricular septal defect ?,"What are the signs and symptoms of Dandy-Walker like malformation with atrioventricular septal defect? The Human Phenotype Ontology provides the following list of signs and symptoms for Dandy-Walker like malformation with atrioventricular septal defect. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the fontanelles or cranial sutures 90% Cognitive impairment 90% Dandy-Walker malformation 90% Frontal bossing 90% Hypertelorism 90% Muscular hypotonia 90% Neurological speech impairment 90% Wide nasal bridge 90% Abnormality of the aorta 50% Abnormality of the mitral valve 50% Abnormality of the pulmonary artery 50% Abnormality of the tricuspid valve 50% Aplasia/Hypoplasia of the cerebellum 50% Atria septal defect 50% Cleft palate 50% Complete atrioventricular canal defect 50% Depressed nasal bridge 50% Hydrocephalus 50% Hypoplastic left heart 50% Kyphosis 50% Low-set, posteriorly rotated ears 50% Macrocephaly 50% Prominent occiput 50% Recurrent respiratory infections 50% Scoliosis 50% Short nose 50% Short stature 50% Tetralogy of Fallot 50% Ventricular septal defect 50% Abnormality of neuronal migration 7.5% Abnormality of the fingernails 7.5% Abnormality of the hip bone 7.5% Abnormality of the ribs 7.5% Abnormality of the upper urinary tract 7.5% Aplasia/Hypoplasia of the nipples 7.5% Brachydactyly syndrome 7.5% Chorioretinal coloboma 7.5% Displacement of the external urethral meatus 7.5% Ectopic anus 7.5% Finger syndactyly 7.5% Glaucoma 7.5% Hand polydactyly 7.5% Hernia of the abdominal wall 7.5% Hypoplasia of penis 7.5% Intestinal malrotation 7.5% Iris coloboma 7.5% Optic atrophy 7.5% Preauricular skin tag 7.5% Primary adrenal insufficiency 7.5% Short neck 7.5% Single umbilical artery 7.5% Urogenital fistula 7.5% Vertebral segmentation defect 7.5% Adrenal hypoplasia - Anal atresia - Aortic valve stenosis - Autosomal recessive inheritance - Brachycephaly - Coloboma - Double outlet right ventricle - Growth hormone deficiency - Hemivertebrae - High forehead - Hydronephrosis - Hypospadias - Intrauterine growth retardation - Low posterior hairline - Low-set ears - Missing ribs - Posterior fossa cyst - Pulmonic stenosis - Syndactyly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Dandy-Walker like malformation with atrioventricular septal defect
"What are the symptoms of Deafness, autosomal dominant nonsyndromic sensorineural 23 ?","What are the signs and symptoms of Deafness, autosomal dominant nonsyndromic sensorineural 23? The Human Phenotype Ontology provides the following list of signs and symptoms for Deafness, autosomal dominant nonsyndromic sensorineural 23. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Conductive hearing impairment 75% Preauricular pit 5% Autosomal dominant inheritance - Sensorineural hearing impairment - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,"Deafness, autosomal dominant nonsyndromic sensorineural 23"
What are the genetic changes related to Hennekam syndrome ?,"Mutations in the CCBE1 or FAT4 gene can cause Hennekam syndrome.  The CCBE1 gene provides instructions for making a protein that is found in the lattice of proteins and other molecules outside the cell (extracellular matrix). The CCBE1 protein is involved in the maturation (differentiation) and movement (migration) of immature cells called lymphangioblasts that will eventually form the lining (epithelium) of lymphatic vessels.  The function of the protein produced from the FAT4 gene is largely unknown. Research shows that the FAT4 protein may be involved in determining the position of various components within cells (cell polarity).  CCBE1 gene mutations that cause Hennekam syndrome change the three-dimensional shape of the protein and severely decrease its function. The abnormal protein cannot play its role in the formation of the lymphatic vessel epithelium. The resulting malformation of lymphatic vessels leads to lymphangiectasia, lymphedema, and other features of Hennekam syndrome. Since the lymphatic system extends throughout the body, a disruption to the vessels can affect almost any organ. Altered lymphatic development before birth may change the balance of fluids and impair normal development, contributing to many of the other signs of Hennekam syndrome such as unusual facial features.  FAT4 gene mutations that cause Hennekam syndrome result in a FAT4 protein with decreased function. Reduced FAT4 protein activity seems to impair normal development of the lymphatic system, but the mechanism is unknown.  Together, mutations in the CCBE1 and FAT4 genes are responsible for approximately half of all Hennekam syndrome cases. The cause of the remaining cases is unknown.",GHR,Hennekam syndrome
"What is (are) 46,XX testicular disorder of sex development ?","46,XX testicular disorder of sex development is a condition in which a person with two X chromosomes (which is normally found in females) has a male appearance. More specifically, people with this condition have male external genitalia, ranging from normal to ambiguous. Other common signs and symptoms include small testes, gynecomastia, infertility due to azoospermia (lack of sperm), and health problems related to low testosterone. Less often, affected people may experience abnormalities such as undescended testes and hypospadias. Gender role and gender identity are normally reported as male. This condition may occur if the SRY gene (which is usually found on the Y chromosome) is misplaced onto the X chromosome. This generally occurs to do an abnormal exchange of genetic material between chromosomes (a translocation). Less commonly, the condition may be due to copy number variants or rearrangements in or around the SOX9 or SOX3 gene. In some affected people, the underlying cause is unknown. In most cases, the condition occurs sporadically in people with no family history of the condition. Treatment is based on the signs and symptoms present in each person and generally includes testosterone replacement therapy.",GARD,"46,XX testicular disorder of sex development"
What are the genetic changes related to adenine phosphoribosyltransferase deficiency ?,"Mutations in the APRT gene cause APRT deficiency. This gene provides instructions for making APRT, an enzyme that helps to convert a DNA building block (nucleotide) called adenine to a molecule called adenosine monophosphate (AMP). This conversion occurs when AMP is needed as a source of energy for cells.  APRT gene mutations lead to the production of an abnormal APRT enzyme with reduced function or prevent the production of any enzyme. A lack of functional enzyme impairs the conversion of adenine to AMP. As a result, adenine is converted to another molecule called 2,8-dihydroxyadenine (2,8-DHA). 2,8-DHA crystallizes in urine, forming stones in the kidneys and urinary tract. 2,8-DHA crystals are brownish in color, which explains why affected infants frequently have dark urine stains in their diapers. 2,8-DHA is toxic to kidneys, which may explain the possible decline in kidney function and the progression to ESRD.",GHR,adenine phosphoribosyltransferase deficiency
What are the complications of Hemochromatosis ?,"Without treatment, iron may build up in the organs and cause complications, including
                
- cirrhosis, or scarring of liver tissue  - diabetes  - irregular heart rhythms or weakening of the heart muscle  - arthritis  - erectile dysfunction
                
The complication most often associated with hemochromatosis is liver damage. Iron buildup in the liver causes cirrhosis, which increases the chance of developing liver cancer.
                
For some people, complications may be the first sign of hemochromatosis. However, not everyone with hemochromatosis will develop complications.",NIDDK,Hemochromatosis
What are the genetic changes related to homocystinuria ?,"Mutations in the CBS, MTHFR, MTR, MTRR, and MMADHC genes cause homocystinuria.  Mutations in the CBS gene cause the most common form of homocystinuria. The CBS gene provides instructions for producing an enzyme called cystathionine beta-synthase. This enzyme acts in a chemical pathway and is responsible for converting the amino acid homocysteine to a molecule called cystathionine. As a result of this pathway, other amino acids, including methionine, are produced. Mutations in the CBS gene disrupt the function of cystathionine beta-synthase, preventing homocysteine from being used properly. As a result, this amino acid and toxic byproducts substances build up in the blood. Some of the excess homocysteine is excreted in urine.  Rarely, homocystinuria can be caused by mutations in several other genes. The enzymes made by the MTHFR, MTR, MTRR, and MMADHC genes play roles in converting homocysteine to methionine. Mutations in any of these genes prevent the enzymes from functioning properly, which leads to a buildup of homocysteine in the body. Researchers have not determined how excess homocysteine and related compounds lead to the signs and symptoms of homocystinuria.",GHR,homocystinuria
Is Hashimoto's encephalitis inherited ?,"Is Hashimoto's encephalitis inherited? We are aware of only one instance when more than one person in the same family had Hashimoto's encephalitis (HE). To our knowledge, no other cases of familial HE have been reported; HE typically occurs in people with no family history of the condition (sporadically). HE can occur in association with other autoimmune disorders, so HE may develop due to an interaction between genes that predispose a person (susceptibility genes) and environmental triggers.",GARD,Hashimoto's encephalitis
What are the treatments for Beare-Stevenson cutis gyrata syndrome ?,These resources address the diagnosis or management of Beare-Stevenson cutis gyrata syndrome:  - Gene Review: Gene Review: FGFR-Related Craniosynostosis Syndromes  - Genetic Testing Registry: Cutis Gyrata syndrome of Beare and Stevenson  - MedlinePlus Encyclopedia: Acanthosis Nigricans  - MedlinePlus Encyclopedia: Craniosynostosis   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Beare-Stevenson cutis gyrata syndrome
"What is (are) Ohdo syndrome, Say-Barber-Biesecker-Young-Simpson variant ?","The Say-Barber-Biesecker-Young-Simpson (SBBYS) variant of Ohdo syndrome is a rare condition characterized by genital abnormalities in males, missing or underdeveloped kneecaps (patellae), intellectual disability, distinctive facial features, and abnormalities affecting other parts of the body.  Males with the SBBYS variant of Ohdo syndrome typically have undescended testes (cryptorchidism). Females with this condition have normal genitalia.  Missing or underdeveloped patellae is the most common skeletal abnormality associated with the SBBYS variant of Ohdo syndrome. Affected individuals also have joint stiffness involving the hips, knees, and ankles that can impair movement. Although joints in the lower body are stiff, joints in the arms and upper body may be unusually loose (lax). Many people with this condition have long thumbs and first (big) toes.  The SBBYS variant of Ohdo syndrome is also associated with delayed development and intellectual disability, which are often severe. Many affected infants have weak muscle tone (hypotonia) that leads to breathing and feeding difficulties.  The SBBYS variant of Ohdo syndrome is characterized by a mask-like, non-expressive face. Additionally, affected individuals may have distinctive facial features such as prominent cheeks, a broad nasal bridge or a nose with a rounded tip, a narrowing of the eye opening (blepharophimosis), droopy eyelids (ptosis), and abnormalities of the tear (lacrimal) glands. About one-third of affected individuals are born with an opening in the roof of the mouth called a cleft palate. The SBBYS variant of Ohdo syndrome can also be associated with heart defects and dental problems.",GHR,"Ohdo syndrome, Say-Barber-Biesecker-Young-Simpson variant"
What causes Dentatorubral-pallidoluysian atrophy ?,"What causes dentatorubral-pallidoluysian atrophy (DRPLA)? DRPLA is caused by a mutation in the ATN1 gene. This gene provides instructions for making a protein called atrophin 1. Although the function of atrophin 1 is unclear, it likely plays an important role in nerve cells (neurons) in many areas of the brain. The ATN1 mutation that causes DRPLA involves a DNA segment known as a CAG trinucleotide repeat. This segment is made up of a series of three DNA building blocks (cytosine, adenine, and guanine) that appear multiple times in a row on the gene. Normally, this CAG segment is repeated 6 to 35 times within the ATN1 gene. In people with DRPLA, the CAG segment is repeated at least 48 times (and sometimes much more). The abnormally long CAG trinucleotide repeat changes the structure of the atrophin 1 protein, which then accumulates in neurons and interferes with normal cell functions. The dysfunction and eventual death of these neurons lead to the signs and symptoms associated with DRPLA.",GARD,Dentatorubral-pallidoluysian atrophy
Who is at risk for Pancreatic Neuroendocrine Tumors (Islet Cell Tumors)? ?,Having certain syndromes can increase the risk of pancreatic NETs. Anything that increases your risk of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesn't mean that you will not get cancer. Talk with your doctor if you think you may be at risk.     Multiple endocrine neoplasia type 1 (MEN1) syndrome is a risk factor for pancreatic NETs.,CancerGov,Pancreatic Neuroendocrine Tumors (Islet Cell Tumors)
